model_name,column_name,column_type,comment,index
model.apple_store.apple_store__app_version_report,date_day,date,The date of the report and respective recorded metric(s); follows the format `YYYY-MM-DD`.,
model.apple_store.apple_store__app_version_report,app_id,integer,Application ID.,
model.apple_store.apple_store__app_version_report,app_name,text,Application Name.,
model.apple_store.apple_store__app_version_report,source_type,text,"A source is counted when a customer follows a link to your App Store product page. 
There are 8 types of sources: App Store Browse, App Store Search, App Referrers, Web Referrers, App Clips, Unavailable, Institutional Purchases, and Null. Null is the default value for data that does not provide source types, including: crashes, subscription events and subscription summary.
More information can be found in the Apple App Store developer [docs](https://developer.apple.com/help/app-store-connect/view-app-analytics/view-acquisition-sources/).",
model.apple_store.apple_store__app_version_report,app_version,text,The app version of the app that the user is engaging with.,
model.apple_store.apple_store__app_version_report,crashes,bigint,The number of recorded crashes experienced (User Opt-In only); a value of 0 indicates there were 0 crash reports or no value from the source report that day.,
model.apple_store.apple_store__app_version_report,active_devices,integer,"The count of active_device is the count of devices that ran the app at least one time and for at least two seconds on a given day (User Opt-In only); this metric is presumed to be de-duplicated daily as received from the source data, therefore, aggregating over a span of days is better done in the UI. A value of 0 indicates there were 0 active devices or no value from the source report that day.",
model.apple_store.apple_store__app_version_report,active_devices_last_30_days,integer,"The count of active_devices_last_30_days is the count of devices that ran the app at least one time and for at least two seconds on the date_day of the report minus 30 days (User Opt-In only); this metric is presumed to be de-duplicated daily as received from the source data, therefore, aggregating over a span of days is better done in the UI. A value of 0 indicates there were 0 active devices last 30 days or no value from the source report that day.",
model.apple_store.apple_store__app_version_report,deletions,integer,A deletion occurs when a user removes your app from their device (User Opt-In only). Data from resetting or erasing a device’s content and settings is not included. A value of 0 indicates there were 0 deletions or no value from the source report that day.,
model.apple_store.apple_store__app_version_report,installations,integer,"An installation event is when the user opens the App after they've downloaded it (User Opt-In only). If the App was downloaded but not opened or opened offline, this will not count; if the user opts out of sending data back to Apple, there will also be no data here. A value of 0 indicates there were 0 installations or no value from the source report that day.",
model.apple_store.apple_store__app_version_report,sessions,integer,"Sessions is the count of the number of times the app has been used for at least two seconds (User Opt-In only). If the app is in the background and is later used again, that counts as another session. A value of 0 indicates there were 0 sessions or no value from the source report that day.",
model.apple_store.apple_store__source_type_report,date_day,date,The date of the report and respective recorded metric(s); follows the format `YYYY-MM-DD`.,
model.apple_store.apple_store__source_type_report,app_id,integer,Application ID.,
model.apple_store.apple_store__source_type_report,app_name,text,Application Name.,
model.apple_store.apple_store__source_type_report,source_type,text,"A source is counted when a customer follows a link to your App Store product page. 
There are 8 types of sources: App Store Browse, App Store Search, App Referrers, Web Referrers, App Clips, Unavailable, Institutional Purchases, and Null. Null is the default value for data that does not provide source types, including: crashes, subscription events and subscription summary.
More information can be found in the Apple App Store developer [docs](https://developer.apple.com/help/app-store-connect/view-app-analytics/view-acquisition-sources/).",
model.apple_store.apple_store__source_type_report,impressions,bigint,"The number of times your app was viewed in the App Store for more than one second. This includes search results, Featured, Explore, Top Charts and App Product Page views. (Source: [BusinessofApps](https://www.businessofapps.com/insights/understanding-the-app-store-metrics/#:~:text=Impressions%20%E2%80%93%20%E2%80%9CThe%20number%20of%20times,was%20clicked%20on%20and%20viewed.))",
