input_model,input_column,tags,output_model,output_columns
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,directory_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""directory_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""mailing_list_id"":""Renamed from 'id' to 'mailing_list_id' in the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,_fivetran_deleted,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as BOOLEAN in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""is_deleted"":""Renamed from '_fivetran_deleted' to 'is_deleted' in the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TIMESTAMP in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""_fivetran_synced"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,creation_date,"{""Cleaning"":""The column is cast as TIMESTAMP in both 'fields' and 'final' CTEs""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""created_at"":""Renamed from 'creation_date' to 'created_at' and cast as TIMESTAMP in the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,last_modified_date,"{""Cleaning"":""The column is cast as TIMESTAMP in both 'fields' and 'final' CTEs""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""last_modified_at"":""Renamed from 'last_modified_date' to 'last_modified_at' and cast as TIMESTAMP in the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,name,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""name"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__directory_mailing_list_tmp,owner_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT in the 'fields' CTE""}",model.qualtrics_source.stg_qualtrics__directory_mailing_list,"{""owner_user_id"":""Renamed from 'owner_id' to 'owner_user_id' in the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,contact_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""contact_id"":""Directly copied to the output""}"
model.qualtrics_source.stg_qualtrics__distribution_contact_tmp,distribution_id,"{""Direct"":""The column is directly copied without any transformation""}",model.qualtrics_source.stg_qualtrics__distribution_contact,"{""distribution_id"":""Directly copied to the output""}"
