model_name,column_name,column_type,comment,index
model.hubspot.hubspot__contacts,is_contact_deleted,boolean,Boolean indicating whether a record has been deleted in Hubspot and/or inferred deleted in Hubspot by Fivetran; _fivetran_deleted and is_deleted fields are equivalent.,
model.hubspot.hubspot__contacts,_fivetran_synced,timestamp without time zone,Timestamp of when Fivetran synced a record.,
model.hubspot.hubspot__contacts,contact_id,integer,The ID of the contact.,
model.hubspot.hubspot__contacts,contact_company,text,The name of the contact's company,
model.hubspot.hubspot__contacts,first_name,text,The contact's first name.,
model.hubspot.hubspot__contacts,last_name,text,The contact's last name.,
model.hubspot.hubspot__contacts,email,text,The email address of the contact.,
model.hubspot.hubspot__contacts,created_date,timestamp without time zone,The date that the contact was created in your HubSpot account.,
model.hubspot.hubspot__contacts,job_title,integer,The contact's job title.,
model.hubspot.hubspot__contacts,company_annual_revenue,integer,The contact's annual company revenue.,
model.hubspot.hubspot__contacts,total_bounces,numeric,The total number of bounce email events.,
model.hubspot.hubspot__contacts,total_clicks,numeric,The total number of click email events.,
model.hubspot.hubspot__contacts,total_deferrals,numeric,The total number of deferral email events.,
model.hubspot.hubspot__contacts,total_deliveries,numeric,The total number of delivery email events.,
model.hubspot.hubspot__contacts,total_drops,numeric,The total number of drop email events.,
model.hubspot.hubspot__contacts,total_forwards,numeric,The total number of forward email events.,
model.hubspot.hubspot__contacts,total_opens,numeric,The total number of open email events.,
model.hubspot.hubspot__contacts,total_prints,numeric,The total number of print email events.,
model.hubspot.hubspot__contacts,total_spam_reports,numeric,The total number of spam report email events.,
model.hubspot.hubspot__contacts,total_unsubscribes,numeric,The total number of unsubscribe email events.,
model.hubspot.hubspot__contacts,total_unique_bounces,bigint,The total number of unique email sends with a bounce email event.,
model.hubspot.hubspot__contacts,total_unique_clicks,bigint,The total number of unique email sends with a click email event.,
model.hubspot.hubspot__contacts,total_unique_deferrals,bigint,The total number of unique email sends with a deferral email event.,
model.hubspot.hubspot__contacts,total_unique_deliveries,bigint,The total number of unique email sends with a delivery email event.,
model.hubspot.hubspot__contacts,total_unique_drops,bigint,The total number of unique email sends with a drop email event.,
model.hubspot.hubspot__contacts,total_unique_forwards,bigint,The total number of unique email sends with a forward email event.,
model.hubspot.hubspot__contacts,total_unique_opens,bigint,The total number of unique email sends with a opens email event.,
model.hubspot.hubspot__contacts,total_unique_prints,bigint,The total number of unique email sends with a print email event.,
model.hubspot.hubspot__contacts,total_unique_spam_reports,bigint,The total number of unique email sends with a spam report email event.,
model.hubspot.hubspot__contacts,total_unique_unsubscribes,bigint,The total number of unique email sends with a unsubscribe email event.,
model.hubspot.hubspot__contacts,count_engagement_notes,bigint,The total number of related note engagements.,
model.hubspot.hubspot__contacts,count_engagement_tasks,bigint,The total number of related task engagements.,
model.hubspot.hubspot__contacts,count_engagement_calls,bigint,The total number of related call engagements.,
model.hubspot.hubspot__contacts,count_engagement_meetings,bigint,The total number of related meeting engagements.,
model.hubspot.hubspot__contacts,count_engagement_emails,bigint,The total number of related email engagements.,
model.hubspot.hubspot__contacts,count_engagement_incoming_emails,bigint,The total number of related incoming email engagements.,
model.hubspot.hubspot__contacts,count_engagement_forwarded_emails,bigint,The total number of related forwarded email engagements.,
model.hubspot.hubspot__contacts,calculated_merged_vids,text,"List of mappings representing contact IDs that have been merged into the contact at hand. Format: <merged_contact_id>:<merged_at_in_epoch_time>;<second_merged_contact_id>:<merged_at_in_epoch_time> This field has replaced the `CONTACT_MERGE_AUDIT` table, which was deprecated by the Hubspot v3 CRM API.
",
model.hubspot.hubspot__contact_lists,_fivetran_synced,timestamp without time zone,Timestamp of when Fivetran synced a record.,
model.hubspot.hubspot__contact_lists,contact_list_id,integer,The ID of the contact list.,
model.hubspot.hubspot__contact_lists,contact_list_name,text,The name of the contact list.,
model.hubspot.hubspot__contact_lists,is_contact_list_deleted,boolean,Boolean indicating whether a record has been deleted in Hubspot and/or inferred deleted in Hubspot by Fivetran; _fivetran_deleted and is_deleted fields are equivalent.,
model.hubspot.hubspot__contact_lists,created_timestamp,timestamp without time zone,A timestamp of the time the list was created.,
model.hubspot.hubspot__contact_lists,is_deletable,boolean,"If this is false, this is a system list and cannot be deleted.",
model.hubspot.hubspot__contact_lists,is_dynamic,boolean,Whether the contact list is dynamic.,
model.hubspot.hubspot__contact_lists,metadata_error,integer,Any errors that happened the last time the list was processed.,
model.hubspot.hubspot__contact_lists,metadata_last_processing_state_change_at,timestamp without time zone,A timestamp of the last time that the processing state changed.,
model.hubspot.hubspot__contact_lists,metadata_last_size_change_at,timestamp without time zone,A timestamp of the last time that the size of the list changed.,
model.hubspot.hubspot__contact_lists,metadata_processing,text,"One of DONE, REFRESHING, INITIALIZING, or PROCESSING. 
DONE indicates the list has finished processing, any other value indicates that list membership is being evaluated.
",
model.hubspot.hubspot__contact_lists,metadata_size,integer,The approximate number of contacts in the list.,
model.hubspot.hubspot__contact_lists,portal_id,integer,The hub ID.,
model.hubspot.hubspot__contact_lists,updated_timestamp,timestamp without time zone,A timestamp of the time that the list was last modified.,
model.hubspot.hubspot__contact_lists,total_bounces,numeric,The total number of bounce email events.,
model.hubspot.hubspot__contact_lists,total_clicks,numeric,The total number of click email events.,
model.hubspot.hubspot__contact_lists,total_deferrals,numeric,The total number of deferral email events.,
model.hubspot.hubspot__contact_lists,total_deliveries,numeric,The total number of delivery email events.,
model.hubspot.hubspot__contact_lists,total_drops,numeric,The total number of drop email events.,
model.hubspot.hubspot__contact_lists,total_forwards,numeric,The total number of forward email events.,
model.hubspot.hubspot__contact_lists,total_opens,numeric,The total number of open email events.,
model.hubspot.hubspot__contact_lists,total_prints,numeric,The total number of print email events.,
model.hubspot.hubspot__contact_lists,total_spam_reports,numeric,The total number of spam report email events.,
model.hubspot.hubspot__contact_lists,total_unsubscribes,numeric,The total number of unsubscribe email events.,
model.hubspot.hubspot__contact_lists,total_unique_bounces,bigint,The total number of unique email sends with a bounce email event.,
model.hubspot.hubspot__contact_lists,total_unique_clicks,bigint,The total number of unique email sends with a click email event.,
model.hubspot.hubspot__contact_lists,total_unique_deferrals,bigint,The total number of unique email sends with a deferral email event.,
model.hubspot.hubspot__contact_lists,total_unique_deliveries,bigint,The total number of unique email sends with a delivery email event.,
model.hubspot.hubspot__contact_lists,total_unique_drops,bigint,The total number of unique email sends with a drop email event.,
model.hubspot.hubspot__contact_lists,total_unique_forwards,bigint,The total number of unique email sends with a forward email event.,
model.hubspot.hubspot__contact_lists,total_unique_opens,bigint,The total number of unique email sends with a opens email event.,
model.hubspot.hubspot__contact_lists,total_unique_prints,bigint,The total number of unique email sends with a print email event.,
model.hubspot.hubspot__contact_lists,total_unique_spam_reports,bigint,The total number of unique email sends with a spam report email event.,
model.hubspot.hubspot__contact_lists,total_unique_unsubscribes,bigint,The total number of unique email sends with a unsubscribe email event.,
model.hubspot.hubspot__email_campaigns,_fivetran_synced,timestamp without time zone,Timestamp of when Fivetran synced a record.,
model.hubspot.hubspot__email_campaigns,app_id,integer,The app ID.,
model.hubspot.hubspot__email_campaigns,app_name,text,The app name.,
model.hubspot.hubspot__email_campaigns,content_id,bigint,The ID of the content.,
model.hubspot.hubspot__email_campaigns,email_campaign_id,bigint,The ID of the email campaign.,
