model_name,index
model.hubspot.hubspot__companies,0
model.hubspot.hubspot__company_history,1
model.hubspot.hubspot__contact_history,2
model.hubspot.hubspot__contact_lists,3
model.hubspot.hubspot__contacts,4
model.hubspot.hubspot__deal_history,5
model.hubspot.hubspot__deal_stages,6
model.hubspot.hubspot__deals,7
model.hubspot.hubspot__email_campaigns,8
model.hubspot.hubspot__email_event_bounce,9
model.hubspot.hubspot__email_event_clicks,10
model.hubspot.hubspot__email_event_deferred,11
model.hubspot.hubspot__email_event_delivered,12
model.hubspot.hubspot__email_event_dropped,13
model.hubspot.hubspot__email_event_forward,14
model.hubspot.hubspot__email_event_opens,15
model.hubspot.hubspot__email_event_print,16
model.hubspot.hubspot__email_event_sent,17
model.hubspot.hubspot__email_event_spam_report,18
model.hubspot.hubspot__email_event_status_change,19
model.hubspot.hubspot__email_sends,20
model.hubspot.hubspot__engagement_calls,21
model.hubspot.hubspot__engagement_emails,22
model.hubspot.hubspot__engagement_meetings,23
model.hubspot.hubspot__engagement_notes,24
model.hubspot.hubspot__engagement_tasks,25
model.hubspot.hubspot__engagements,26
model.hubspot.int_hubspot__contact_merge_adjust,27
model.hubspot.int_hubspot__deals_enhanced,28
model.hubspot.int_hubspot__email_aggregate_status_change,29
model.hubspot.int_hubspot__email_event_aggregates,30
model.hubspot.int_hubspot__email_metrics__by_contact_list,31
model.hubspot.int_hubspot__engagement_metrics__by_contact,32
model.hubspot_source.stg_hubspot__company,33
model.hubspot_source.stg_hubspot__company_property_history,34
model.hubspot_source.stg_hubspot__company_property_history_tmp,35
model.hubspot_source.stg_hubspot__company_tmp,36
model.hubspot_source.stg_hubspot__contact,37
model.hubspot_source.stg_hubspot__contact_list,38
model.hubspot_source.stg_hubspot__contact_list_member,39
model.hubspot_source.stg_hubspot__contact_list_member_tmp,40
model.hubspot_source.stg_hubspot__contact_list_tmp,41
model.hubspot_source.stg_hubspot__contact_property_history,42
model.hubspot_source.stg_hubspot__contact_property_history_tmp,43
model.hubspot_source.stg_hubspot__contact_tmp,44
model.hubspot_source.stg_hubspot__deal,45
model.hubspot_source.stg_hubspot__deal_company,46
model.hubspot_source.stg_hubspot__deal_company_tmp,47
model.hubspot_source.stg_hubspot__deal_contact,48
model.hubspot_source.stg_hubspot__deal_contact_tmp,49
model.hubspot_source.stg_hubspot__deal_pipeline,50
model.hubspot_source.stg_hubspot__deal_pipeline_stage,51
model.hubspot_source.stg_hubspot__deal_pipeline_stage_tmp,52
model.hubspot_source.stg_hubspot__deal_pipeline_tmp,53
model.hubspot_source.stg_hubspot__deal_property_history,54
model.hubspot_source.stg_hubspot__deal_property_history_tmp,55
model.hubspot_source.stg_hubspot__deal_stage,56
model.hubspot_source.stg_hubspot__deal_stage_tmp,57
model.hubspot_source.stg_hubspot__deal_tmp,58
model.hubspot_source.stg_hubspot__email_campaign,59
model.hubspot_source.stg_hubspot__email_campaign_tmp,60
model.hubspot_source.stg_hubspot__email_event,61
model.hubspot_source.stg_hubspot__email_event_bounce,62
model.hubspot_source.stg_hubspot__email_event_bounce_tmp,63
model.hubspot_source.stg_hubspot__email_event_click,64
model.hubspot_source.stg_hubspot__email_event_click_tmp,65
model.hubspot_source.stg_hubspot__email_event_deferred,66
model.hubspot_source.stg_hubspot__email_event_deferred_tmp,67
model.hubspot_source.stg_hubspot__email_event_delivered,68
model.hubspot_source.stg_hubspot__email_event_delivered_tmp,69
model.hubspot_source.stg_hubspot__email_event_dropped,70
model.hubspot_source.stg_hubspot__email_event_dropped_tmp,71
model.hubspot_source.stg_hubspot__email_event_forward,72
model.hubspot_source.stg_hubspot__email_event_forward_tmp,73
model.hubspot_source.stg_hubspot__email_event_open,74
model.hubspot_source.stg_hubspot__email_event_open_tmp,75
model.hubspot_source.stg_hubspot__email_event_print,76
model.hubspot_source.stg_hubspot__email_event_print_tmp,77
model.hubspot_source.stg_hubspot__email_event_sent,78
model.hubspot_source.stg_hubspot__email_event_sent_tmp,79
model.hubspot_source.stg_hubspot__email_event_spam_report,80
model.hubspot_source.stg_hubspot__email_event_spam_report_tmp,81
model.hubspot_source.stg_hubspot__email_event_status_change,82
model.hubspot_source.stg_hubspot__email_event_status_change_tmp,83
model.hubspot_source.stg_hubspot__email_event_tmp,84
model.hubspot_source.stg_hubspot__engagement,85
model.hubspot_source.stg_hubspot__engagement_call,86
model.hubspot_source.stg_hubspot__engagement_call_tmp,87
model.hubspot_source.stg_hubspot__engagement_company,88
model.hubspot_source.stg_hubspot__engagement_company_tmp,89
model.hubspot_source.stg_hubspot__engagement_contact,90
model.hubspot_source.stg_hubspot__engagement_contact_tmp,91
model.hubspot_source.stg_hubspot__engagement_deal,92
model.hubspot_source.stg_hubspot__engagement_deal_tmp,93
model.hubspot_source.stg_hubspot__engagement_email,94
model.hubspot_source.stg_hubspot__engagement_email_tmp,95
model.hubspot_source.stg_hubspot__engagement_meeting,96
model.hubspot_source.stg_hubspot__engagement_meeting_tmp,97
model.hubspot_source.stg_hubspot__engagement_note,98
model.hubspot_source.stg_hubspot__engagement_note_tmp,99
model.hubspot_source.stg_hubspot__engagement_task,100
model.hubspot_source.stg_hubspot__engagement_task_tmp,101
model.hubspot_source.stg_hubspot__engagement_tmp,102
model.hubspot_source.stg_hubspot__owner,103
model.hubspot_source.stg_hubspot__owner_tmp,104
model.hubspot_source.stg_hubspot__property,105
model.hubspot_source.stg_hubspot__property_option,106
model.hubspot_source.stg_hubspot__property_option_tmp,107
model.hubspot_source.stg_hubspot__property_tmp,108
source.hubspot_source.hubspot.company,109
source.hubspot_source.hubspot.company_property_history,110
source.hubspot_source.hubspot.contact,111
source.hubspot_source.hubspot.contact_list,112
source.hubspot_source.hubspot.contact_list_member,113
source.hubspot_source.hubspot.contact_property_history,114
source.hubspot_source.hubspot.deal,115
source.hubspot_source.hubspot.deal_company,116
source.hubspot_source.hubspot.deal_contact,117
