model_name,column_name,column_type,comment,index
model.google_play.google_play__app_version_report,active_devices_last_30_days,INT64,The number of active devices on which your app is installed. An active device is one that has been turned on at least once in the past 30 days.,
model.google_play.google_play__app_version_report,app_version_code,INT64,Integer value of the version of the app being reported on.,
model.google_play.google_play__app_version_report,device_installs,INT64,Devices on which users installed your app on this day. An individual user can have multiple device installs.,
model.google_play.google_play__app_version_report,device_uninstalls,INT64,The number of devices from which users uninstalled your app on a given day.,
model.google_play.google_play__app_version_report,device_upgrades,INT64,The number of devices from which users upgraded your app on a given day.,
model.google_play.google_play__app_version_report,user_installs,INT64,The number of users who installed your app and did not have it installed on any other devices at the time on a given day.,
model.google_play.google_play__app_version_report,user_uninstalls,INT64,The number of users who uninstalled your app from all of their devices on this day.,
model.google_play.google_play__app_version_report,date_day,DATE,The date on which the data is reported.,
model.google_play.google_play__app_version_report,install_events,INT64,"The number of times your app was installed, including devices on which the app had been installed previously. This does not include pre-installs or device reactivations.",
model.google_play.google_play__app_version_report,package_name,STRING,The package name of the app owning the report data.,
model.google_play.google_play__app_version_report,uninstall_events,INT64,The number of times your app was uninstalled. This does not include inactive devices.,
model.google_play.google_play__app_version_report,update_events,INT64,The number of times your app was updated.,
model.google_play.google_play__app_version_report,anrs,INT64,Daily application not responding (ANR) reports collected from Android devices whose users have opted in to automatically share usage and diagnostics data.,
model.google_play.google_play__app_version_report,crashes,INT64,Daily crash reports collected from Android devices whose users have opted in to automatically share usage and diagnostics data.,
model.google_play.google_play__app_version_report,rolling_total_average_rating,FLOAT64,"Average star rating this app received across all ratings submitted up to and including the past day. For each user submitting a rating, only their most recent rating of the app is counted.",
model.google_play.google_play__app_version_report,average_rating,FLOAT64,Average star rating this app has received across all ratings submitted on a given day.,
model.google_play.google_play__app_version_report,total_device_installs,INT64,Cumulative number of device installs up to and including this day (aggregated on the dimension of this table). This does not take uninstalls into account and may contain duplicate devices.,
model.google_play.google_play__app_version_report,total_device_uninstalls,INT64,Cumulative number of device uninstalls up to and including this day (aggregated on the dimension of this table). This does not take re-installs into account and may contain duplicate devices.,
model.google_play.google_play__app_version_report,net_device_installs,INT64,Cumulative net number of device installs up to and including this day (aggregated on the dimension of this table). This is the difference of `total_device_installs` and `total_device_uninstalls`.,
model.google_play.google_play__country_report,active_devices_last_30_days,INT64,The number of active devices on which your app is installed. An active device is one that has been turned on at least once in the past 30 days.,
model.google_play.google_play__country_report,country_short,STRING,Two-letter abbreviation of the country where the user’s Google account is registered.,
model.google_play.google_play__country_report,country_long,STRING,Full name of the country.,
model.google_play.google_play__country_report,region,STRING,Geographical region of the country.,
model.google_play.google_play__country_report,sub_region,STRING,Geographical subregion of the country.,
model.google_play.google_play__country_report,device_installs,INT64,Devices on which users installed your app on this day. An individual user can have multiple device installs.,
model.google_play.google_play__country_report,device_uninstalls,INT64,The number of devices from which users uninstalled your app on a given day.,
model.google_play.google_play__country_report,device_upgrades,INT64,The number of devices from which users upgraded your app on a given day.,
model.google_play.google_play__country_report,user_installs,INT64,The number of users who installed your app and did not have it installed on any other devices at the time on a given day.,
model.google_play.google_play__country_report,user_uninstalls,INT64,The number of users who uninstalled your app from all of their devices on this day.,
model.google_play.google_play__country_report,date_day,DATE,The date on which the data is reported.,
model.google_play.google_play__country_report,install_events,INT64,"The number of times your app was installed, including devices on which the app had been installed previously. This does not include pre-installs or device reactivations.",
model.google_play.google_play__country_report,package_name,STRING,The package name of the app owning the report data.,
model.google_play.google_play__country_report,uninstall_events,INT64,The number of times your app was uninstalled. This does not include inactive devices.,
model.google_play.google_play__country_report,update_events,INT64,The number of times your app was updated.,
model.google_play.google_play__country_report,rolling_total_average_rating,FLOAT64,"Average star rating this app received across all ratings submitted up to and including the past day. For each user submitting a rating, only their most recent rating of the app is counted.",
model.google_play.google_play__country_report,average_rating,FLOAT64,Average star rating this app has received across all ratings submitted on a given day.,
model.google_play.google_play__country_report,total_device_installs,INT64,Cumulative number of device installs up to and including this day (aggregated on the dimension of this table). This does not take uninstalls into account and may contain duplicate devices.,
model.google_play.google_play__country_report,total_device_uninstalls,INT64,Cumulative number of device uninstalls up to and including this day (aggregated on the dimension of this table). This does not take re-installs into account and may contain duplicate devices.,
model.google_play.google_play__country_report,net_device_installs,INT64,Cumulative net number of device installs up to and including this day (aggregated on the dimension of this table). This is the difference of `total_device_installs` and `total_device_uninstalls`.,
model.google_play.google_play__country_report,store_listing_acquisitions,INT64,"The number of users that visited your store listing and installed your app, who did not have your app installed on any device.",
model.google_play.google_play__country_report,store_listing_conversion_rate,FLOAT64,"The percentage of store listing visitors who installed your app on a given day.

Note: Does not include visits or installs from users who already have your app installed on another device",
model.google_play.google_play__country_report,store_listing_visitors,INT64,The number of users that visited your store listing who did not have your app installed on any device.,
model.google_play.google_play__country_report,total_store_acquisitions,INT64,"Cumulative number of users that visited your store listing and installed your app, who did not have your app installed on any device prior to this.",
model.google_play.google_play__country_report,total_store_visitors,INT64,Cumulative number of users that visited your store listing who did not have your app installed on any device at the time.,
