input_model,input_column,tags,output_model,output_columns
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,app_id,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_app_version,"{""app_id"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,app_version,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_app_version,"{""app_version"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,date,"{""Cleaning"":""The column is cast to DATE type""}",model.apple_store_source.stg_apple_store__crashes_app_version,"{""date_day"":""Transformed and renamed to date_day""}"
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,device,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_app_version,"{""device"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,crashes,"{""Direct"":""The column is directly copied without any transformation""}",model.apple_store_source.stg_apple_store__crashes_app_version,"{""crashes"":""Directly copied to the output""}"
model.apple_store_source.stg_apple_store__app,app_id,"{""Integration"":""Used as a key to join with other tables"",""Direct"":""Directly copied to the output without transformation""}",model.apple_store.apple_store__app_version_report,"{""app_id"":""Directly copied to the output column 'app_id'""}"
model.apple_store_source.stg_apple_store__app,app_name,"{""Direct"":""Directly copied to the output without transformation""}",model.apple_store.apple_store__app_version_report,"{""app_name"":""Directly copied to the output column 'app_name'""}"
model.apple_store_source.stg_apple_store__usage_app_version,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT operation to remove duplicates""}",model.apple_store.apple_store__app_version_report,"{""date_day"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__usage_app_version,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT operation to remove duplicates""}",model.apple_store.apple_store__app_version_report,"{""app_id"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__usage_app_version,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT operation to remove duplicates""}",model.apple_store.apple_store__app_version_report,"{""source_type"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__usage_app_version,app_version,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables"",""Deduplication"":""Used in the DISTINCT operation to remove duplicates""}",model.apple_store.apple_store__app_version_report,"{""app_version"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__usage_app_version,active_devices,"{""Direct"":""The column is directly copied, but wrapped in a COALESCE function""}",model.apple_store.apple_store__app_version_report,"{""active_devices"":""Mapped with COALESCE(usage_app_version_report.active_devices, 0)""}"
model.apple_store_source.stg_apple_store__usage_app_version,active_devices_last_30_days,"{""Direct"":""The column is directly copied, but wrapped in a COALESCE function""}",model.apple_store.apple_store__app_version_report,"{""active_devices_last_30_days"":""Mapped with COALESCE(usage_app_version_report.active_devices_last_30_days, 0)""}"
model.apple_store_source.stg_apple_store__usage_app_version,deletions,"{""Direct"":""The column is directly copied, but wrapped in a COALESCE function""}",model.apple_store.apple_store__app_version_report,"{""deletions"":""Mapped with COALESCE(usage_app_version_report.deletions, 0)""}"
model.apple_store_source.stg_apple_store__usage_app_version,installations,"{""Direct"":""The column is directly copied, but wrapped in a COALESCE function""}",model.apple_store.apple_store__app_version_report,"{""installations"":""Mapped with COALESCE(usage_app_version_report.installations, 0)""}"
model.apple_store_source.stg_apple_store__usage_app_version,sessions,"{""Direct"":""The column is directly copied, but wrapped in a COALESCE function""}",model.apple_store.apple_store__app_version_report,"{""sessions"":""Mapped with COALESCE(usage_app_version_report.sessions, 0)""}"
model.apple_store_source.stg_apple_store__app,app_id,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output without transformation""}",model.apple_store.apple_store__device_report,"{""app_id"":""directly copied""}"
model.apple_store_source.stg_apple_store__app,app_name,"{""Direct"":""directly copied to the output without transformation""}",model.apple_store.apple_store__device_report,"{""app_name"":""directly copied""}"
model.apple_store_source.stg_apple_store__app_store_device,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""date_day"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__app_store_device,app_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""app_id"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__app_store_device,source_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""source_type"":""Directly mapped to the output column""}"
model.apple_store_source.stg_apple_store__app_store_device,device,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables""}",model.apple_store.apple_store__device_report,"{""device"":""Directly mapped to the output column""}"
